Car_Brand,Model,Engine_Type,Fuel_Efficiency,Braking_Performance,Emissions,Driving_Condition,Weather_Condition,Engine_Performance,Safety_Rating,Electric_Range,Driving_Comfort,Reliability
Hyundai,Sonata,Petrol,19,78,168,Extreme Weather,Rainy,290,4,,9,3
Ford,Mustang,Petrol,19,73,138,Extreme Weather,Snowy,468,5,,9,2
Hyundai,Sonata,Petrol,29,76,133,Extreme Weather,Rainy,226,4,,8,3
Toyota,Corolla,Petrol,10,81,171,Off-Road,Rainy,287,5,,7,3
Toyota,Corolla,Electric,18,60,174,Urban,Clear,170,5,,6,3
Ford,F-150,Petrol,20,68,120,Urban,Clear,464,4,,9,2
Toyota,Camry,Electric,17,95,183,Heavy Traffic,Clear,265,4,,7,3
Ford,Mustang,Petrol,15,87,175,Heavy Traffic,Snowy,199,5,,9,1
Hyundai,Sonata,Electric,18,68,134,Extreme Weather,Rainy,326,4,,7,1
BMW,X5,Electric,28,70,160,Extreme Weather,Rainy,344,5,,7,3
Toyota,Camry,Electric,19,61,162,Extreme Weather,Snowy,459,5,,6,1
Tesla,Model S,Petrol,12,87,170,Off-Road,Clear,190,4,321.0,8,2
Toyota,Corolla,Petrol,15,52,159,Urban,Snowy,427,5,,9,1
Ford,Mustang,Petrol,10,76,179,Off-Road,Rainy,168,5,,9,3
Mercedes,GLE,Diesel,21,50,159,Urban,Snowy,360,5,,9,3
Hyundai,Kona EV,Diesel,23,53,123,Urban,Clear,292,4,,7,3
BMW,X5,Electric,18,68,143,Extreme Weather,Snowy,162,4,,9,1
Hyundai,Kona EV,Diesel,16,77,142,Extreme Weather,Rainy,242,4,,7,1
BMW,X5,Diesel,17,71,183,Off-Road,Snowy,325,5,,9,2
Mercedes,GLE,Electric,29,66,136,Extreme Weather,Rainy,263,5,,8,2
Toyota,Corolla,Electric,23,62,163,Urban,Clear,365,4,,8,1
Hyundai,Kona EV,Diesel,17,89,181,Heavy Traffic,Clear,243,4,,9,3
Mercedes,E-Class,Petrol,38,61,112,Highway,Rainy,344,4,,7,2
Mercedes,E-Class,Petrol,21,74,130,Extreme Weather,Snowy,261,5,,9,2
Toyota,Corolla,Petrol,18,92,203,Heavy Traffic,Rainy,313,4,,6,3
Mercedes,GLE,Electric,14,85,171,Heavy Traffic,Snowy,227,4,,9,3
BMW,3 Series,Diesel,19,55,142,Urban,Clear,216,5,,6,3
Mercedes,GLE,Petrol,15,57,145,Urban,Snowy,433,4,,7,1
Mercedes,GLE,Petrol,21,60,123,Urban,Snowy,225,5,,9,3
Toyota,Corolla,Electric,22,60,152,Urban,Snowy,195,5,,7,1
Hyundai,Sonata,Diesel,30,61,123,Highway,Rainy,427,5,,9,1
Tesla,Model S,Diesel,12,70,154,Off-Road,Snowy,182,5,318.0,9,3
BMW,X5,Diesel,22,76,140,Extreme Weather,Clear,390,5,,6,1
Mercedes,E-Class,Diesel,16,67,125,Urban,Rainy,189,5,,8,2
BMW,3 Series,Electric,29,68,104,Highway,Snowy,288,5,,8,2
Toyota,Corolla,Electric,15,58,162,Urban,Snowy,424,4,,8,3
Toyota,Camry,Electric,17,82,180,Heavy Traffic,Snowy,366,5,,7,1
BMW,X5,Electric,26,78,175,Extreme Weather,Snowy,312,4,,9,2
Tesla,Model S,Diesel,34,60,137,Highway,Clear,264,5,387.0,6,1
Ford,Mustang,Diesel,13,88,208,Heavy Traffic,Clear,345,4,,8,1
Ford,Mustang,Petrol,22,77,145,Extreme Weather,Rainy,382,5,,6,3
Hyundai,Kona EV,Diesel,18,77,133,Extreme Weather,Rainy,325,4,,7,3
Ford,Mustang,Electric,15,84,176,Off-Road,Rainy,181,4,,9,1
Hyundai,Sonata,Petrol,14,92,185,Heavy Traffic,Clear,434,4,,9,3
Hyundai,Sonata,Petrol,27,71,145,Highway,Clear,235,5,,9,2
Mercedes,GLE,Diesel,33,72,109,Highway,Clear,352,4,,7,2
Toyota,Camry,Petrol,27,66,138,Highway,Rainy,310,4,,9,3
Hyundai,Kona EV,Diesel,34,66,112,Highway,Snowy,203,5,,8,3
Hyundai,Sonata,Petrol,37,71,146,Highway,Rainy,483,5,,9,3
Mercedes,GLE,Petrol,39,64,105,Highway,Rainy,318,5,,7,1
Ford,F-150,Petrol,29,73,130,Extreme Weather,Clear,422,5,,8,1
Hyundai,Sonata,Diesel,16,97,194,Heavy Traffic,Rainy,354,5,,9,3
Toyota,Camry,Electric,13,73,188,Off-Road,Clear,468,4,,8,2
Ford,Mustang,Electric,16,73,181,Off-Road,Clear,237,5,,6,3
BMW,3 Series,Petrol,16,65,158,Urban,Clear,404,5,,7,3
Tesla,Model S,Diesel,15,90,181,Heavy Traffic,Rainy,260,5,356.0,6,3
Mercedes,GLE,Petrol,21,70,160,Extreme Weather,Rainy,434,5,,9,1
Toyota,Corolla,Petrol,14,91,188,Heavy Traffic,Snowy,288,4,,9,3
Mercedes,GLE,Diesel,19,95,169,Heavy Traffic,Rainy,180,5,,9,2
BMW,X5,Diesel,23,74,138,Extreme Weather,Rainy,220,4,,9,2
Mercedes,GLE,Electric,12,80,181,Off-Road,Snowy,202,4,,8,2
Ford,F-150,Electric,19,62,170,Urban,Rainy,411,5,,6,3
Hyundai,Sonata,Diesel,13,95,176,Heavy Traffic,Clear,256,5,,9,3
Mercedes,E-Class,Petrol,16,93,193,Heavy Traffic,Clear,368,5,,8,2
Ford,F-150,Petrol,19,79,149,Extreme Weather,Snowy,282,4,,9,3
BMW,X5,Electric,12,75,191,Off-Road,Rainy,169,5,,7,3
Hyundai,Kona EV,Petrol,15,67,150,Urban,Rainy,377,5,,6,2
Ford,Mustang,Petrol,14,90,192,Heavy Traffic,Snowy,335,4,,6,2
Mercedes,GLE,Electric,22,50,140,Urban,Clear,427,4,,9,1
Ford,F-150,Petrol,18,73,134,Extreme Weather,Clear,260,5,,8,1
Toyota,Corolla,Diesel,15,84,195,Heavy Traffic,Clear,389,4,,7,2
Mercedes,E-Class,Petrol,19,86,153,Off-Road,Snowy,262,4,,8,1
Hyundai,Kona EV,Electric,16,86,185,Off-Road,Clear,415,5,,9,3
Ford,F-150,Petrol,20,71,170,Extreme Weather,Snowy,340,4,,6,1
Toyota,Corolla,Petrol,16,55,128,Urban,Rainy,472,4,,6,3
BMW,X5,Electric,27,63,141,Highway,Rainy,291,5,,9,3
Ford,F-150,Diesel,10,79,187,Off-Road,Rainy,290,4,,9,2
Hyundai,Sonata,Electric,21,69,175,Extreme Weather,Snowy,484,4,,8,1
Hyundai,Sonata,Petrol,10,71,196,Off-Road,Rainy,475,5,,7,3
Mercedes,E-Class,Petrol,39,74,115,Highway,Rainy,334,5,,7,3
Ford,F-150,Diesel,23,60,157,Extreme Weather,Snowy,404,4,,6,3
Tesla,Model S,Diesel,15,77,197,Off-Road,Clear,182,5,355.0,6,1
Ford,F-150,Electric,25,69,161,Extreme Weather,Clear,322,5,,7,3
Tesla,Model S,Electric,38,69,138,Highway,Snowy,396,4,332.0,7,3
Ford,F-150,Diesel,16,76,150,Off-Road,Rainy,351,5,,8,2
Tesla,Model S,Diesel,23,69,179,Extreme Weather,Rainy,261,4,382.0,6,2
Mercedes,E-Class,Diesel,25,71,173,Extreme Weather,Rainy,365,4,,9,2
Toyota,Corolla,Electric,16,82,158,Off-Road,Rainy,426,5,,9,1
BMW,X5,Electric,18,63,133,Urban,Rainy,387,4,,7,1
Toyota,Camry,Petrol,12,79,169,Off-Road,Clear,343,5,,9,2
Ford,Mustang,Petrol,21,64,137,Urban,Rainy,477,5,,8,2
BMW,3 Series,Electric,22,71,152,Extreme Weather,Clear,452,5,,9,2
Ford,F-150,Diesel,19,69,172,Urban,Snowy,415,4,,7,3
Hyundai,Sonata,Petrol,28,65,127,Highway,Snowy,464,5,,6,2
Ford,F-150,Electric,16,57,161,Urban,Rainy,340,5,,9,2
Tesla,Model S,Petrol,23,69,163,Urban,Clear,211,5,307.0,8,3
Mercedes,E-Class,Diesel,18,96,206,Heavy Traffic,Snowy,206,4,,8,3
Hyundai,Kona EV,Petrol,22,67,131,Urban,Clear,198,5,,7,3
Hyundai,Kona EV,Diesel,23,64,128,Urban,Snowy,417,5,,6,2
Toyota,Corolla,Petrol,16,70,138,Extreme Weather,Clear,382,4,,9,3
Ford,Mustang,Electric,13,87,164,Off-Road,Clear,424,4,,7,2
BMW,3 Series,Diesel,16,65,155,Urban,Clear,213,5,,7,2
Hyundai,Kona EV,Petrol,17,99,187,Heavy Traffic,Rainy,236,5,,6,1
Toyota,Camry,Petrol,30,72,132,Highway,Rainy,351,5,,9,3
Toyota,Camry,Electric,18,91,172,Heavy Traffic,Snowy,337,4,,7,1
Hyundai,Sonata,Electric,24,63,132,Extreme Weather,Rainy,496,4,,6,2
Mercedes,E-Class,Electric,11,70,161,Off-Road,Clear,413,5,,6,2
Ford,Mustang,Petrol,15,54,161,Urban,Rainy,238,5,,7,3
Mercedes,GLE,Petrol,24,71,131,Extreme Weather,Clear,376,4,,6,3
Toyota,Camry,Electric,18,70,151,Off-Road,Snowy,176,4,,7,2
Ford,F-150,Electric,26,67,149,Highway,Clear,244,5,,6,3
BMW,X5,Electric,20,58,148,Urban,Rainy,219,4,,6,3
Mercedes,E-Class,Electric,27,63,109,Highway,Rainy,376,5,,9,1
Ford,F-150,Petrol,17,82,153,Off-Road,Rainy,334,4,,6,3
Mercedes,GLE,Diesel,17,69,130,Extreme Weather,Rainy,172,5,,9,1
Mercedes,E-Class,Electric,18,87,155,Off-Road,Snowy,360,5,,9,1
Toyota,Corolla,Petrol,16,63,178,Urban,Snowy,396,4,,9,1
Hyundai,Kona EV,Diesel,14,87,177,Heavy Traffic,Clear,325,4,,9,3
Ford,F-150,Petrol,35,69,108,Highway,Snowy,203,4,,6,1
Mercedes,GLE,Diesel,11,79,173,Off-Road,Clear,232,5,,8,3
Hyundai,Kona EV,Diesel,14,88,194,Heavy Traffic,Snowy,486,5,,7,2
Tesla,Model 3,Diesel,15,78,170,Off-Road,Rainy,269,5,357.0,8,2
Tesla,Model 3,Diesel,17,68,162,Urban,Rainy,346,4,372.0,8,1
BMW,3 Series,Diesel,15,61,149,Extreme Weather,Clear,357,4,,7,3
Hyundai,Kona EV,Electric,18,83,192,Off-Road,Clear,254,5,,8,1
Hyundai,Kona EV,Petrol,24,61,143,Extreme Weather,Rainy,413,5,,8,2
Ford,F-150,Diesel,16,97,190,Heavy Traffic,Rainy,407,5,,8,2
Ford,Mustang,Petrol,22,74,143,Extreme Weather,Snowy,308,5,,8,1
BMW,X5,Electric,32,76,115,Highway,Snowy,480,5,,9,3
Hyundai,Sonata,Diesel,13,80,165,Off-Road,Clear,332,4,,6,2
Toyota,Camry,Petrol,20,66,143,Extreme Weather,Rainy,160,4,,7,1
BMW,3 Series,Diesel,34,60,129,Highway,Snowy,173,5,,6,3
BMW,3 Series,Electric,19,95,193,Heavy Traffic,Rainy,432,5,,9,1
Tesla,Model 3,Petrol,25,67,101,Highway,Snowy,334,4,357.0,8,1
Tesla,Model 3,Diesel,12,86,186,Off-Road,Rainy,297,5,316.0,7,1
Hyundai,Kona EV,Electric,16,81,161,Off-Road,Rainy,340,4,,6,2
BMW,X5,Electric,39,75,103,Highway,Clear,289,5,,6,2
Ford,Mustang,Diesel,24,68,167,Urban,Snowy,483,5,,7,2
Mercedes,GLE,Diesel,17,73,154,Off-Road,Rainy,188,4,,6,1
BMW,X5,Petrol,16,82,206,Heavy Traffic,Snowy,368,5,,6,3
Tesla,Model S,Diesel,19,72,173,Extreme Weather,Rainy,274,5,302.0,7,3
Toyota,Corolla,Diesel,27,73,162,Extreme Weather,Rainy,343,5,,6,3
Tesla,Model 3,Diesel,19,92,203,Heavy Traffic,Clear,232,5,373.0,8,2
Toyota,Camry,Electric,26,77,168,Extreme Weather,Rainy,410,4,,9,2
Hyundai,Kona EV,Petrol,25,71,137,Extreme Weather,Rainy,479,4,,9,2
Mercedes,E-Class,Petrol,17,76,168,Extreme Weather,Clear,272,4,,6,2
Mercedes,E-Class,Diesel,39,73,132,Highway,Snowy,434,5,,8,3
Hyundai,Sonata,Electric,16,81,209,Heavy Traffic,Clear,244,4,,9,1
BMW,3 Series,Petrol,28,67,117,Highway,Rainy,463,5,,9,1
Ford,F-150,Electric,16,53,174,Urban,Clear,489,5,,9,1
Hyundai,Kona EV,Petrol,16,76,185,Off-Road,Rainy,470,4,,9,1
Tesla,Model 3,Petrol,16,84,204,Heavy Traffic,Snowy,245,5,309.0,8,3
Tesla,Model S,Petrol,19,72,166,Off-Road,Rainy,214,4,352.0,9,1
Ford,F-150,Diesel,19,72,164,Extreme Weather,Snowy,447,4,,9,2
Hyundai,Kona EV,Electric,28,66,142,Extreme Weather,Clear,458,5,,6,1
Ford,Mustang,Petrol,36,72,146,Highway,Rainy,447,4,,7,1
BMW,X5,Diesel,15,61,156,Extreme Weather,Snowy,389,5,,7,2
Hyundai,Sonata,Diesel,24,64,137,Extreme Weather,Snowy,314,4,,7,2
Toyota,Camry,Diesel,21,66,168,Urban,Clear,210,5,,9,3
Hyundai,Sonata,Diesel,19,82,168,Heavy Traffic,Rainy,196,5,,7,2
BMW,3 Series,Petrol,27,60,102,Highway,Snowy,398,5,,8,3
