marka,motor_kodu,uretim_yillari,hacim_cc,guc_hp,tork_nm,yakit_tipi,silindir_konf,silindir_sayisi,blok_malzemesi,turbo,kompresyon_orani,tavsiye_edilen_yag,yag_kapasitesi_l,motor_omru_km,agirlik_kg,euro_standardi
Ford,?9??,2014-2019,1498.0,182.0,240.0,Benzin,Sıra (Inline),4.0,Alüminyum,Evet,10.3,5w-20,3.8,220000.0,,euro 5/6
Ford,M9DA,2014-2018,1498.0,182.0,240.0,Benzin,Sıra (Inline),4.0,Alüminyum,Evet,10.0,5w-20,4.1,220000.0,,euro 5/6
Ford,M8MA,2014-2019,1498.0,150.0,240.0,Benzin,Sıra (Inline),4.0,Alüminyum,Evet,10.0,5w-20,3.8,230000.0,,euro 5/6
Ford,M8DA,2014-2019,1498.0,150.0,240.0,Benzin,Sıra (Inline),4.0,Alüminyum,Evet,10.0,5w-20,4.1,240000.0,,euro 5/6
Ford,M1JE,2012-2017,998.0,125.0,170.0,Benzin,Sıra (Inline),3.0,Dökme Demir,Evet,10.0,5w-20,4.6,230000.0,,euro 5/6
Ford,M2DA,since 2012,998.0,100.0,170.0,Benzin,Sıra (Inline),3.0,Dökme Demir,Evet,10.0,5w-20,4.1,250000.0,,euro 5
Ford,M1DA,since 2012,998.0,125.0,170.0,Benzin,Sıra (Inline),3.0,Dökme Demir,Evet,10.0,5w-20,4.1,220000.0,,euro 5
Ford,MEBA,2002-2007,2967.0,226.0,280.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.0,5w-30,5.75,330000.0,,euro 3/4
Ford,REBA,2004-2007,2967.0,204.0,263.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.0,5w-30,5.8,350000.0,,euro 3/4
Ford,LCBD,2000-2007,2495.0,170.0,220.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),9.8,5w-30,5.7,320000.0,,euro 3/4
Ford,SGA,1999-2000,2495.0,205.0,235.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.25,5w-30,5.65,275000.0,,euro 3
Ford,SEA,1994-1999,2544.0,170.0,220.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),9.7,5w-30,5.6,300000.0,,euro 3
Ford,XTDA,2010-2018,1596.0,85.0,141.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,4.1,300000.0,91.0,euro 5/6
Ford,SIDA,2007-2011,1596.0,115.0,155.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,4.1,260000.0,91.0,euro 4
Ford,PNDA,2010-2019,1596.0,125.0,159.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,4.1,350000.0,91.0,euro 5
Ford,PNBA,2007-2010,1596.0,125.0,160.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,4.1,250000.0,91.0,euro 4
Ford,HXDA,2003-2008,1596.0,115.0,155.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,4.1,300000.0,93.0,euro 4
Ford,IQDB,2010-2019,1596.0,105.0,150.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,4.05,330000.0,91.0,euro 5/6
Ford,UEJB,2013-2017,1499.0,112.0,140.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,4.0,320000.0,89.0,euro 5
Ford,JZDA,2009-2010,2522.0,327.5,450.0,Benzin,Sıra (Inline),5.0,Alüminyum,Evet,8.5,5w-30,5.9,300000.0,,euro 4/5
Ford,HUWA,2006-2010,2522.0,220.0,320.0,Benzin,Sıra (Inline),5.0,Alüminyum,Evet,9.0,5w-30,5.8,290000.0,,euro 4
Ford,HYDB,2008-2013,2522.0,200.0,320.0,Benzin,Sıra (Inline),5.0,Alüminyum,Evet,9.0,5w-30,5.8,450000.0,,euro 4/5
Ford,HYDA,2005-2010,2522.0,225.0,320.0,Benzin,Sıra (Inline),5.0,Alüminyum,Evet,9.0,5w-30,5.75,400000.0,,euro 4
Ford,HUBA,2007-2010,2522.0,220.0,320.0,Benzin,Sıra (Inline),5.0,Alüminyum,Evet,9.0,5w-30,5.8,300000.0,,euro 4
Ford,HMDA,2002-2003,1988.0,215.0,310.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Evet,8.0,5w-30,4.3,250000.0,,euro 3
Ford,ALDA,2002-2004,1988.0,173.0,196.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),10.2,5w-30,4.35,275000.0,,euro 3
Ford,YTMA,since 2012,2488.0,149.0,230.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),9.7,5w-30,5.0,400000.0,116.0,euro 5
Ford,SEBA,2007-2015,2261.0,161.0,208.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.6,5w-30,4.3,350000.0,112.0,euro 4/5
Ford,SEWA,2006-2015,2261.0,161.0,208.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.6,5w-30,4.3,375000.0,112.0,euro 4
Ford,XQDA,since 2010,1999.0,150.0,202.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),12.0,5w-30,4.3,300000.0,109.0,euro 5
Ford,CJBA/CJBB,2000-2007,1999.0,145.0,190.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.8,5w-30,4.25,400000.0,105.0,euro 4
Ford,AOWA,2006-2015,1999.0,145.0,185.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.8,5w-30,4.3,360000.0,105.0,euro 4
Ford,AODA,2003-2011,1999.0,145.0,185.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.8,5w-30,4.3,340000.0,105.0,euro 4
Ford,QQDB/QQDA,2003-2011,1798.0,125.0,165.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.8,5w-30,4.3,350000.0,102.0,euro 4
Ford,CHBA/CHBB,2000-2007,1798.0,125.0,170.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.8,5w-30,4.3,360000.0,102.0,euro 4
Ford,CFBA,2003-2007,1798.0,130.0,175.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.3,5w-30,4.4,250000.0,107.0,euro 4
Ford,FYJA,2001-2012,1596.0,100.0,146.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,4.1,340000.0,92.0,euro 4
Ford,HWDA,2003-2008,1596.0,100.0,150.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,4.1,320000.0,92.0,euro 4
Ford,SHDA/SHDB,2007-2011,1596.0,100.0,150.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,4.1,330000.0,90.0,euro 4
Ford,ASDA,2004-2010,1388.0,80.0,124.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.0,5w-30,3.8,250000.0,91.0,euro 4
Ford,Duratorq 2.4,2006,2402.0,100.0,,Dizel,,,,Bilinmiyor,17.5,,,,,euro 4
Ford,Duratorq 3.2,,3198.0,200.0,,Dizel,,,,Bilinmiyor,15.8,,,,,euro 5
Ford,Duratorq 2.2,,2198.0,107.5,,Dizel,,,,Bilinmiyor,17.5,,,,,euro 4
Mazda,B1 1.1l,1987-1994,1138.0,52.5,85.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),8.6,5w-30,3.0,220000.0,112.5,euro 1
Mazda,B3 1.3l,1987-2005,1323.0,,,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),,5w-30,3.2,250000.0,115.8,
Mazda,B3-ME,1994-2003,1323.0,75.0,105.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.1,5w-30,3.2,280000.0,118.5,euro 2/3
Mazda,B5 1.5l,1987-1994,1498.0,,,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),,5w-30,3.0,250000.0,121.7,
Mazda,B5-DE,1989-2005,1498.0,112.5,135.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.2,5w-30,3.2,350000.0,129.3,euro 2
Mazda,B5-ME,1992-2002,1498.0,87.5,122.5,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.0,5w-30,3.2,300000.0,123.1,euro 2/3
Mazda,B6 1.6l,1985-1994,1597.0,84.0,122.5,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.3,5w-30,3.0,275000.0,137.2,euro 1/2
Mazda,B6-ME,1989-1994,1597.0,87.5,137.5,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.0,5w-30,3.0,280000.0,138.3,euro 1/2
Mazda,B6-DE,1993-2009,1597.0,110.0,140.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.0,5w-30,3.2,300000.0,140.5,euro 2/3
Mazda,BP 1.8l,1989-2004,1839.0,135.0,155.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.0,5w-30,3.2,330000.0,143.2,euro 2
Mazda,BP-ME/B8,1990-1996,1839.0,107.5,152.5,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),8.9,5w-30,3.2,320000.0,140.3,euro 2
Mazda,F6 1.6l,1982-1987,1587.0,77.0,120.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),8.6,5w-30,3.9,250000.0,152.9,euro 0
Mazda,FP 1.8l,1991-1997,1839.0,102.5,150.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.1,5w-30,3.5,350000.0,131.8,euro 2
Mazda,FP-DE,1997-2004,1839.0,112.5,155.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.1,5w-30,3.5,400000.0,132.7,euro 3
Mazda,F8 1.8l,1982-2005,1789.0,,,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),,5w-30,3.9,275000.0,155.4,
Mazda,FE 2.0l,1981-2001,1998.0,,,Benzin,Sıra (Inline),4.0,Dökme Demir,Bilinmiyor,,5w-30,3.9,300000.0,164.3,
Mazda,FE-DE,1987-2004,1998.0,140.0,177.5,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.2,5w-30,3.9,350000.0,168.2,euro 1/2
Mazda,FE3N,1989-1997,1998.0,160.0,185.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.5,5w-30,3.9,250000.0,168.7,euro 2
Mazda,FS 2.0l,1991-1997,1991.0,122.5,172.5,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.0,5w-30,3.5,375000.0,136.3,euro 2
Mazda,FS-DE,1997-2004,1991.0,127.5,177.5,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.1,5w-30,3.5,450000.0,137.5,euro 3
Mazda,FS-ZE,1997-2004,1991.0,167.5,180.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),10.0,5w-30,3.5,300000.0,138.2,euro 3
Mazda,F2 2.2l,1986-1993,2184.0,,,Benzin,Sıra (Inline),4.0,Dökme Demir,Bilinmiyor,,5w-30,4.6,350000.0,177.1,
Mazda,K8-DE,1991-1998,1845.0,132.5,157.5,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),9.2,5w-30,4.0,290000.0,165.0,euro 3
Mazda,K8-ZE,1991-1998,1845.0,142.5,157.5,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),9.5,5w-30,4.0,275000.0,167.0,euro 3
Mazda,KF-DE,1992-2002,1995.0,142.5,180.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),9.5,5w-30,4.0,300000.0,175.0,euro 3
Mazda,KF-ZE,1991-1999,1995.0,165.0,185.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.0,5w-30,4.0,275000.0,175.0,euro 3
Mazda,KJ-ZEM,1993-2002,2255.0,215.0,285.0,Benzin,V,6.0,Alüminyum,Evet,10.0,5w-30,4.1,250000.0,205.0,euro 3
Mazda,KL-DE,1992-2002,2497.0,170.0,215.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),9.2,5w-30,4.0,450000.0,171.0,euro 3
Mazda,KL-G4,1997-2002,2497.0,170.0,221.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),9.5,5w-30,4.0,500000.0,175.0,euro 3
Mazda,KL-ZE,1992-2002,2497.0,200.0,224.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.0,5w-30,4.0,400000.0,176.0,euro 3
Mazda,L8-DE,2002-2018,1798.0,122.5,165.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.8,5w-30,4.3,275000.0,102.0,euro 4
Mazda,L813,2002-2012,1798.0,120.0,165.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.8,5w-30,4.3,280000.0,102.0,euro 4
Mazda,LF-DE,2002-2015,1999.0,150.0,185.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.8,5w-30,4.3,300000.0,105.0,euro 4
Mazda,LF-VD,2010-2018,1999.0,150.0,190.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),11.2,5w-30,4.3,260000.0,110.0,euro 5
Mazda,LF17,2002-2013,1999.0,145.0,185.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.8,5w-30,4.3,320000.0,105.0,euro 4
Mazda,LFF7,2004-2011,1999.0,145.0,185.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.8,5w-30,4.3,310000.0,105.0,euro 4
Mazda,L3-VE,2002-2018,2261.0,165.0,210.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.6,5w-30,3.5,300000.0,112.0,euro 4
Mazda,L3-VDT,2005-2013,2261.0,255.0,365.0,Benzin,Sıra (Inline),4.0,Alüminyum,Evet,9.5,5w-30,5.7,230000.0,148.0,euro 4
Mazda,L3C1,2002-2008,2261.0,165.0,205.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.6,5w-30,3.5,280000.0,112.0,euro 4
Mazda,L5-VE,2008-2015,2488.0,167.5,227.5,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),9.7,5w-30,5.5,350000.0,116.0,euro 4
Mazda,ZJ-VE,2002-2015,1348.0,82.5,122.5,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.0,5w-30,3.7,240000.0,103.5,euro 4/5
Mazda,Z5-DE,1994-1998,1489.0,100.0,135.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.0,5w-30,3.5,300000.0,128.7,euro 3
Mazda,ZL-DE,1998-2003,1489.0,110.0,137.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.0,5w-30,3.2,320000.0,127.9,euro 3
Mazda,ZL-VE,1998-2003,1489.0,130.0,141.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),9.4,5w-30,3.3,290000.0,129.7,euro 3
Mazda,ZY-VE,2002-2015,1489.0,107.5,137.5,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.0,5w-30,3.9,280000.0,117.9,euro 4/5
Mazda,MZR Z6,2003-2019,1598.0,105.0,145.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),10.0,5w-30,4.2,250000.0,131.2,euro 4/5
Mazda,ZM-DE,1998-2003,1598.0,100.0,145.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),10.0,5w-30,4.0,300000.0,140.9,euro 3
Mazda,GY-DE,1999-2002,2495.0,170.0,209.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),9.7,5w-30,5.2,350000.0,,euro 3
Mazda,AJ-DE,2000-2007,2967.0,210.0,265.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.0,5w-30,5.7,400000.0,,euro 3
Mazda,AJ-VE,2007-2011,2967.0,240.0,300.0,Benzin,V,6.0,Alüminyum,Hayır (Atmosferik),10.3,5w-30,5.7,350000.0,,euro 4
Mazda,SkyActiv-G 1.5,since 2013,1496.0,110.0,145.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),13.0,0w-20,3.9,250000.0,,euro 4/5
Mazda,SkyActiv-G 2.0,since 2012,1997.0,157.5,205.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),13.0,0w-20,4.2,300000.0,,euro 4/5
Mazda,SkyActiv-G 2.5,1992-2003,2488.0,190.0,250.0,Benzin,Sıra (Inline),4.0,Alüminyum,Hayır (Atmosferik),13.0,0w-20,4.2,320000.0,,euro 4/5
Mazda,13B-MSP,2003-2012,1308.0,221.0,216.5,Benzin,W,2.0,Alüminyum,Hayır (Atmosferik),10.0,5w-30,3.6,120000.0,112.0,euro 4
Mazda,RF 2.0l,1983-2003,1998.0,,,Dizel,Sıra (Inline),4.0,Dökme Demir,Bilinmiyor,,5w-30,,300000.0,187.0,
Mazda,RF-T DI,1998-2004,1998.0,,,Dizel,Sıra (Inline),4.0,Dökme Demir,Bilinmiyor,18.8,5w-30,4.7,300000.0,210.0,euro 2/3
Mazda,RF5C,2002-2005,1998.0,127.5,310.0,Dizel,Sıra (Inline),4.0,Dökme Demir,Evet,18.3,5w-30,4.8,270000.0,195.0,euro 3
Mazda,RF7J,2005-2010,1998.0,127.5,335.0,Dizel,Sıra (Inline),4.0,Dökme Demir,Evet,16.7,5w-30,4.8,280000.0,197.0,euro 4
Mazda,R2 2.2l,1983-2007,2184.0,74.5,140.0,Dizel,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),22.9,5w-30,6.5,320000.0,190.0,euro 1/2
Mazda,R2AA,2008-2013,2184.0,167.5,380.0,Dizel,Sıra (Inline),4.0,Dökme Demir,Evet,16.3,5w-30,4.7,275000.0,202.0,euro 4/5
Mazda,Y4 1.4 CiTD,2003-2009,1399.0,68.0,160.0,Dizel,Sıra (Inline),4.0,Alüminyum,Evet,17.9,5w-30,3.75,300000.0,,euro 3/4
Mazda,Y6 1.6 CiTD,2004-2015,1560.0,,,Dizel,Sıra (Inline),4.0,Alüminyum,Bilinmiyor,,5w-30,,300000.0,,
Mazda,WL-T,1995-2006,2499.0,120.0,280.0,Dizel,Sıra (Inline),4.0,Dökme Demir,Evet,20.0,"10w-30, 10w-40",6.7,500000.0,234.0,euro 2/3
Mazda,SH-VPTS,since 2013,2188.0,182.5,435.0,Dizel,Sıra (Inline),4.0,Alüminyum,Evet,14.4,5w-30,5.8,250000.0,,euro 5/6
Mazda,S8-DPTS,since 2018,1756.0,115.0,270.0,Dizel,Sıra (Inline),4.0,Alüminyum,Evet,14.8,5w-30,5.1,260000.0,,euro 6d
Mazda,S5-DPTS,since 2014,1498.0,105.0,245.0,Dizel,Sıra (Inline),4.0,Alüminyum,Evet,14.8,5w-30,5.1,240000.0,,euro 5/6
Subaru,EE20,since 2008,1998.0,148.5,350.0,Dizel,Boxer (H),4.0,Alüminyum,Evet,15.2,5w-30,5.6,250000.0,190.0,euro 4/5/6
Subaru,FB25,since 2010,2498.0,,,Benzin,Boxer (H),4.0,Alüminyum,Hayır (Atmosferik),,0w-20,4.8,250000.0,150.0,
Subaru,FB20,,1995.0,,,,Boxer (H),4.0,Alüminyum,Hayır (Atmosferik),,0w-20,,250000.0,,euro 5/6
Subaru,FB16,,1599.0,,,Benzin,Boxer (H),4.0,Alüminyum,Bilinmiyor,,,4.8,220000.0,,euro 5/6
Subaru,FA24,,2387.0,264.0,376.0,Benzin,Boxer (H),4.0,Alüminyum,Evet,10.6,5w-30,5.2,240000.0,190.0,euro 5
Subaru,FA20,,1998.0,,,,Boxer (H),4.0,Alüminyum,Bilinmiyor,,,,230000.0,,euro 5
Subaru,EZ36,,3629.0,255.0,350.0,Benzin,Boxer (H),6.0,Alüminyum,Hayır (Atmosferik),10.5,5w-30,6.3,320000.0,185.0,euro 4/5
Subaru,EZ30,2000-2009,2999.0,,,Benzin,Boxer (H),6.0,Alüminyum,Hayır (Atmosferik),10.7,5w-30,,300000.0,170.0,
Subaru,EL15,2006-2012,1498.0,107.5,142.5,Benzin,Boxer (H),4.0,Alüminyum,Hayır (Atmosferik),10.1,5w-30,4.0,250000.0,105.0,euro 4
Subaru,EJ25,,2457.0,,,,Boxer (H),4.0,Alüminyum,Bilinmiyor,,5w-30,,300000.0,,
Subaru,EJ20T,,1994.0,,,Benzin,Boxer (H),4.0,Alüminyum,Bilinmiyor,,5w-30,4.7,225000.0,,
Subaru,EJ20,1989-2015,1994.0,,,,Boxer (H),4.0,Alüminyum,Hayır (Atmosferik),,5w-30,4.0,300000.0,,euro 2/3/4
Subaru,EJ15,1992-2007,1493.0,,,Benzin,Boxer (H),4.0,Alüminyum,Hayır (Atmosferik),,5w-30,4.4,220000.0,100.0,euro 1/2
Subaru,CB18,,1795.0,177.0,300.0,Benzin,Boxer (H),4.0,Alüminyum,Evet,10.4,"0w-16, 0w-20",4.3,200000.0,125.0,euro 6
Volvo,D12A420,,12100.0,,,Dizel,,,,Bilinmiyor,,,,,,euro 2
Alfa Romeo,AR32301,1998-2001,1970.0,155.0,187.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Hayır (Atmosferik),10.0,10w-40,4.4,210000.0,170.0,euro 2
Caterpillar,3512,,58.6,,,,,,,Bilinmiyor,,,,,,
Caterpillar,C10,,10.3,,,,,,,Bilinmiyor,17.25,,,,630.0,
Audi,CDHA,2009-2015,1798.0,120.0,230.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Evet,9.6,5w-30,4.6,270000.0,144.0,euro 5
Audi,CDHB,2008-2013,1798.0,160.0,250.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Evet,9.6,5w-30,4.6,250000.0,144.0,euro 5
Audi,CCZC,2010-2015,1984.0,170.0,280.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Evet,9.6,5w-30,4.6,260000.0,142.0,euro 5
Caterpillar,C12,,12.0,,,,,,,Bilinmiyor,,,,,1174.0,
Caterpillar,C18,,18.1,,,,,,,Bilinmiyor,16.3,,,,1565.0,
Volkswagen,BGP,2005-2010,2480.0,150.0,228.0,Benzin,Sıra (Inline),5.0,Dökme Demir,Hayır (Atmosferik),10.0,5w-30,5.7,330000.0,,euro 4
Volkswagen,CBTA,2008-2014,2480.0,170.0,240.0,Benzin,Sıra (Inline),5.0,Dökme Demir,Hayır (Atmosferik),10.3,5w-30,6.0,350000.0,,euro 5
Audi,CEPA,2009-2014,2480.0,340.0,450.0,Benzin,Sıra (Inline),5.0,Dökme Demir,Evet,10.0,5w-30,6.5,220000.0,,euro 5
Audi,CTSA,2013-2015,2480.0,310.0,420.0,Benzin,Sıra (Inline),5.0,Dökme Demir,Evet,10.0,5w-30,6.5,230000.0,,euro 5
MAN,D2156,1971,10344.0,192.0,,,,,,Bilinmiyor,17.0,,,,965.0,
DAF,WS 282,,11600.0,,,Dizel,,,,Bilinmiyor,,,,,,
MAN,D0834,,4580.0,220.0,,,,,,Bilinmiyor,,,,,360.0,euro 3
Scania,DSC9,,8970.0,265.0,,Dizel,,,,Bilinmiyor,16.7,,,,,euro 2
MAN,D0826,,6871.0,205.0,,,,,,Bilinmiyor,,,,,,euro 2
Scania,DC9,,9000.0,285.0,,Dizel,,,,Bilinmiyor,16.0,,,,890.0,euro 3
Scania,DSC14,,14181.0,,,Dizel,,,,Bilinmiyor,,,,,,
Scania,DC16,,16400.0,660.0,,Dizel,,,,Bilinmiyor,16.7,,,,1340.0,euro 4
Scania,DC12,,11700.0,405.0,,Dizel,,,,Bilinmiyor,,,,,1065.0,euro 3
Volvo,D12C380,1998-08-01 00:00:00,12100.0,,,Dizel,,,,Bilinmiyor,,,,,,
Volvo,D16A520,,16122.0,520.0,,,,,,Bilinmiyor,,,,,,euro 2
DAF,RS 180,,8650.0,,,Dizel,,,,Bilinmiyor,,,,,,
Volvo,D6A180,,5480.0,,,Dizel,,,,Bilinmiyor,,,,,,
DAF,B85,,844.0,,,Benzin,,,,Bilinmiyor,,,,,,
Volvo,D12C460,1998-08-01 00:00:00,12100.0,,,Dizel,,,,Bilinmiyor,,,,,,
MAN,D2862,2014,24240.0,1900.0,,Dizel,,,,Bilinmiyor,17.0,,,,2380.0,euro 5
DAF,WS 242,,11600.0,,,Dizel,,,,Bilinmiyor,,,,,,euro 2
DAF,WS 225,,11600.0,,,Dizel,,,,Bilinmiyor,,,,,,
DAF,WS 259,,11600.0,,,Dizel,,,,Bilinmiyor,,,,,,
DAF,XD3P,,2497.0,,,Dizel,,,,Bilinmiyor,,,,,,
DAF,MX 300,,12900.0,410.0,,,,,,Bilinmiyor,17.7,,,,,euro 5
Volvo,D16C610,,16120.0,610.0,,,,,,Bilinmiyor,,,,,1270.0,euro 3
Volvo,D11C330,,10800.0,,,Dizel,,,,Bilinmiyor,,,,,,euro 5
DAF,BE99C,,3920.0,,,Dizel,,,,Bilinmiyor,,,,,,euro 3
Volvo,D6A230,,5480.0,,,Dizel,,,,Bilinmiyor,,,,,,
Volvo,D6A210,,5480.0,,,Dizel,,,,Bilinmiyor,,,,,,
Volvo,D12D420,,12100.0,,,Dizel,,,,Bilinmiyor,,,,,,euro 2-3
DAF,XF315M,1997,12580.0,,,Dizel,,,,Bilinmiyor,16.0,,,,,
MMZ,D-240,,,80.0,,Dizel,,,,Bilinmiyor,16.0,,,,,
MAN,D2842,,21930.0,,,Dizel,,,,Bilinmiyor,,,,,1860.0,
Volvo,D7F260,,7146.0,,,Dizel,,,,Bilinmiyor,,,,,,euro 5
Audi,CDNB,2008-2014,1984.0,180.0,320.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Evet,9.6,5w-30,4.6,260000.0,142.0,euro 5
Audi,CDNC,2008-2013,1984.0,211.0,350.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Evet,9.6,"0w-30, 5w-40 (approved vw 502.00 or 505.00)",4.6,300000.0,142.0,euro 5
Audi,CNCD,2012-2016,1984.0,225.0,350.0,Benzin,Sıra (Inline),4.0,Dökme Demir,Evet,9.6,5w-30,5.7,250000.0,140.0,euro 5/6
DAF,MX 265,,12900.0,360.0,,,,,,Bilinmiyor,17.7,,,,,euro 4
Volvo,D12A380,1993-08-01 00:00:00,12100.0,,,Dizel,,,,Bilinmiyor,,,,,,euro 2
MAN,D0824,,4580.0,,,,,,,Bilinmiyor,,,,,360.0,euro 2
Volvo,D6A250,,5480.0,,,Dizel,,,,Bilinmiyor,,,,,,
Volvo,D7C290,1998-09-01 00:00:00,7300.0,,,Dizel,,,,Bilinmiyor,,,,,,
Volvo,D16A470,,16122.0,470.0,,,,,,Bilinmiyor,,,,,,euro 2
Volvo,D16E580,,16120.0,,,Dizel,,,,Bilinmiyor,,,,,,euro 4 (d4)
Volvo,D9A380,9.2001,9364.0,,,Dizel,,,,Bilinmiyor,18.5,,,,,euro 3
Volvo,D16G750,,16120.0,750.0,3550.0,,,,,Bilinmiyor,,,,,1325.0,euro 5/eev
DAF,XF280M,,12580.0,381.0,,,,,,Bilinmiyor,,,,,1050.0,euro 2
